SYN ID	SYN POS	SYN	SYN TERMS	CONFIDENCE SCORE	GLOSS
1740	a	Synset('able.a.01')	['able']	-1.000	(usually followed by `to') having the necessary means or skill or know-how or authority to do something
17688	a	Synset('unabused.a.01')	['unabused']	-1.000	not physically abused; treated properly
36481	a	Synset('inactive.a.07')	['inactive']	-1.000	lacking activity; lying idle or unused
36998	s	Synset('dull.s.08')	['dull', 'slow', 'sluggish']	-1.000	(of business) not active or brisk
63277	a	Synset('maladroit.a.01')	['maladroit']	-1.000	not adroit
65488	a	Synset('disadvantageous.a.01')	['disadvantageous']	-1.000	constituting a disadvantage
65667	s	Synset('minus.s.02')	['minus', 'negative']	-1.000	involving disadvantage or harm
72281	s	Synset('immune.s.04')	['immune']	-1.000	(usually followed by `to') not affected by a given influence
72673	s	Synset('unimpressed.s.01')	['unimpressed']	-1.000	not moved to serious regard
72790	s	Synset('uninfluenced.s.01')	['uninfluenced', 'unswayed', 'untouched']	-1.000	not influenced or affected
74346	a	Synset('unaffected.a.04')	['unaffected']	-1.000	free of artificiality; sincere and genuine
74594	s	Synset('lifelike.s.02')	['lifelike', 'natural']	-1.000	free from artificiality
74741	s	Synset('unmannered.s.02')	['unmannered']	-1.000	without artificiality; natural
74867	s	Synset('unselfconscious.s.01')	['unselfconscious']	-1.000	not self-conscious
75019	s	Synset('unstilted.s.01')	['unstilted']	-1.000	flowing naturally and continuously
75515	a	Synset('negative.a.02')	['negative']	-1.000	expressing or consisting of a negation or refusal or denial
75737	s	Synset('dissentient.s.02')	['dissentient', 'dissenting', 'dissident']	-1.000	disagreeing, especially with a majority
76739	s	Synset('repudiative.s.01')	['repudiative']	-1.000	rejecting emphatically; e.g. refusing to pay or disowning
77645	a	Synset('afraid.a.01')	['afraid']	-1.000	filled with fear or apprehension
79485	s	Synset('fearful.s.01')	['fearful']	-1.000	experiencing or showing fear
80098	s	Synset('hydrophobic.s.02')	['hydrophobic', 'aquaphobic']	-1.000	abnormally afraid of water
85264	a	Synset('agitated.a.01')	['agitated']	-0.500	troubled emotionally and usually deeply
85870	s	Synset('distraught.s.01')	['distraught', 'overwrought']	-1.000	deeply agitated especially from emotion
86005	s	Synset('jolted.s.02')	['jolted', 'shaken']	-1.000	disturbed psychologically as if by a physical jolt or shock
86210	s	Synset('feverish.s.01')	['feverish', 'hectic']	-1.000	marked by intense agitation or emotion
86341	s	Synset('frantic.s.01')	['frantic', 'frenetic', 'phrenetic', 'frenzied']	-1.000	excessively agitated; distraught with fear or other violent emotion
86606	s	Synset('hysterical.s.02')	['hysterical']	-1.000	marked by excessive or uncontrollable emotion
86801	s	Synset('psychedelic.s.03')	['psychedelic']	-1.000	(of a mental state) characterized by intense and distorted perceptions and hallucinations and feelings of euphoria or sometimes despair
87022	s	Synset('wild-eyed.s.01')	['wild-eyed']	-1.000	appearing extremely agitated
87354	a	Synset('agitated.a.02')	['agitated']	-1.000	physically disturbed or set in motion
87597	s	Synset('churning.s.02')	['churning', 'roiling', 'roiled', 'roily', 'turbulent']	-1.000	(of a liquid) agitated vigorously; in a state of turbulence
87837	s	Synset('churning.s.01')	['churning', 'churned-up']	-1.000	moving with or producing or produced by vigorous agitation
88055	s	Synset('jolted.s.01')	['jolted']	-1.000	bumped or shaken jerkily
88157	s	Synset('rippled.s.02')	['rippled', 'ruffled']	-1.000	shaken into waves or undulations as by wind
88328	s	Synset('seething.s.01')	['seething']	-1.000	in constant agitation
88545	s	Synset('stirred.s.03')	['stirred']	-1.000	set into a usually circular motion in order to mix or blend
89355	a	Synset('disagreeable.a.01')	['disagreeable']	-1.000	not to your liking
89550	s	Synset('annoying.s.01')	['annoying', 'bothersome', 'galling', 'irritating', 'nettlesome', 'pesky', 'pestering', 'pestiferous', 'plaguy', 'plaguey', 'teasing', 'vexatious', 'vexing']	-1.000	causing irritation or annoyance
90219	s	Synset('harsh.s.06')	['harsh', 'abrasive']	-1.000	sharply disagreeable; rigorous
90408	s	Synset('nerve-racking.s.01')	['nerve-racking', 'nerve-wracking', 'stressful', 'trying']	-1.000	extremely irritating to the nerves
90628	s	Synset('unsweet.s.02')	['unsweet']	-1.000	distasteful
101800	a	Synset('egoistic.a.01')	['egoistic', 'egoistical', 'egocentric', 'self-centered', 'self-centred']	-1.000	limited to or caring only about yourself and your own needs
104318	s	Synset('pushful.s.01')	['pushful', 'pushy']	-1.000	marked by aggressive ambition and energy and initiative
112628	a	Synset('synthetic.a.02')	['synthetic', 'synthetical']	-1.000	involving or of the nature of synthesis (combining separate elements to form a coherent whole) as opposed to analysis
113818	a	Synset('angry.a.01')	['angry']	-1.000	feeling or showing anger
115494	s	Synset('indignant.s.01')	['indignant', 'incensed', 'outraged', 'umbrageous']	-1.000	angered at something unjust or wrong
117754	a	Synset('insentient.a.01')	['insentient', 'insensate']	-1.000	devoid of feeling and consciousness and animation
117961	s	Synset('unfeeling.s.02')	['unfeeling']	-1.000	devoid of feeling or sensation
133851	a	Synset('unappetizing.a.01')	['unappetizing', 'unappetising']	-1.000	not appetizing in appearance, aroma, or taste
140989	s	Synset('columnar.s.02')	['columnar']	-1.000	characterized by columns
147734	a	Synset('artful.a.02')	['artful']	-1.000	marked by skill in achieving a desired end especially with cunning or craft
148078	s	Synset('crafty.s.01')	['crafty', 'cunning', 'dodgy', 'foxy', 'guileful', 'knavish', 'slick', 'sly', 'tricksy', 'tricky', 'wily']	-0.500	marked by skill in deception
149861	a	Synset('artless.a.02')	['artless']	-1.000	simple and natural; without cunning or deceit
151855	s	Synset('dumb.s.04')	['dumb', 'mute', 'silent']	-1.000	unable to speak because of hereditary deafness
152285	s	Synset('mute.s.01')	['mute', 'tongueless', 'unspoken', 'wordless']	-1.000	expressed without speech
153898	a	Synset('ashamed.a.01')	['ashamed']	-0.333	feeling shame or guilt or embarrassment or remorse
154163	s	Synset('discredited.s.02')	['discredited', 'disgraced', 'dishonored', 'shamed']	-1.000	suffering shame
154270	s	Synset('embarrassed.s.02')	['embarrassed', 'humiliated', 'mortified']	-1.000	made to feel uncomfortable because of shame or wounded pride
154837	s	Synset('shamefaced.s.02')	['shamefaced', 'sheepish']	-1.000	showing a sense of shame
156440	s	Synset('cocky.s.01')	['cocky']	-1.000	overly self-confident or self-assertive
157268	s	Synset('reticent.s.03')	['reticent', 'self-effacing', 'retiring']	-1.000	reluctant to draw attention to yourself
157925	a	Synset('attached.a.03')	['attached', 'committed']	-0.333	associated in an exclusive sexual relationship
158238	s	Synset('intended.s.02')	['intended']	-1.000	future; betrothed
158332	s	Synset('involved.s.03')	['involved']	-1.000	emotionally involved
162386	a	Synset('wary.a.01')	['wary']	-1.000	marked by keen caution and watchful prudence
162863	s	Synset('shy.s.03')	['shy']	-1.000	wary and distrustful; disposed to avoid persons or things
169164	a	Synset('unattractive.a.01')	['unattractive']	-1.000	lacking beauty or charm
169826	s	Synset('unprepossessing.s.01')	['unprepossessing', 'unpresentable']	-1.000	creating an unfavorable or neutral first impression
