SYN ID	SYN POS	SYN	SYN TERMS	CONFIDENCE SCORE	GLOSS
2956	a	Synset('abducent.a.01')	"['abducent', 'abducting']"	1	especially of muscles; drawing away from the midline of the body or from an adjacent part
3131	a	Synset('adducent.a.01')	"['adducent', 'adductive', 'adducting']"	1	especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part
5205	a	Synset('absolute.a.01')	['absolute']	1	perfect or complete or pure
5473	s	Synset('direct.s.10')	['direct']	1	lacking compromising or mitigating elements; exact
6032	a	Synset('relative.a.01')	"['relative', 'comparative']"	1	estimated by comparison; not absolute or complete
6245	s	Synset('relational.s.01')	['relational']	1	having a relation or being related
13887	a	Synset('abundant.a.01')	['abundant']	1	present in great quantity
15097	s	Synset('easy.s.12')	['easy']	1	"obtained with little effort or sacrifice, often obtained illegally"
16005	s	Synset('rampant.s.03')	['rampant']	1	(of a plant) having a lush and unchecked growth
17352	a	Synset('abused.a.02')	"['abused', 'ill-treated', 'maltreated', 'mistreated']"	1	subjected to cruel treatment
17509	s	Synset('battered.s.03')	['battered']	1	exhibiting symptoms resulting from repeated physical and emotional injury
17782	a	Synset('acceptable.a.01')	['acceptable']	1	worthy of acceptance or satisfactory
18069	s	Synset('bankable.s.02')	['bankable']	1	acceptable to or at a bank
18222	s	Synset('unexceptionable.s.01')	"['unexceptionable', 'unimpeachable']"	1	completely acceptable; not open to exception or reproach
18435	s	Synset('unobjectionable.s.03')	['unobjectionable']	1	"not objectionable; it's the means that one can't accept"""
19131	a	Synset('accessible.a.01')	['accessible']	1	capable of being reached
19731	s	Synset('handy.s.01')	"['handy', 'ready_to_hand']"	1	easy to reach
20787	a	Synset('accommodating.a.01')	"['accommodating', 'accommodative']"	1	helpful in bringing about a harmonious adaptation
21110	s	Synset('complaisant.s.01')	"['complaisant', 'obliging']"	1	showing a cheerful willingness to do favors for others
21766	a	Synset('accurate.a.01')	['accurate']	1	conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
22219	s	Synset('close.s.05')	"['close', 'faithful']"	1	marked by fidelity to an original
23120	s	Synset('true.s.02')	"['true', 'dead_on_target']"	1	accurately placed or thrown
27247	a	Synset('acknowledged.a.01')	['acknowledged']	1	recognized or made known or admitted
28008	s	Synset('assumptive.s.02')	['assumptive']	1	accepted as real or true without proof
28471	s	Synset('putative.s.01')	['putative']	1	purported; commonly put forth or accepted as true on inconclusive grounds
35465	a	Synset('active.a.07')	['active']	1	full of activity or engaged in continuous activity
35779	s	Synset('brisk.s.03')	['brisk']	1	very active
35868	s	Synset('bustling.s.01')	['bustling']	1	full of energetic and noisy activity
35978	s	Synset('busy.s.04')	['busy']	1	crowded with or characterized by much activity
36163	s	Synset('going.s.01')	['going']	1	in full operation
36254	s	Synset('open.s.21')	['open']	1	ready for business
36346	s	Synset('springy.s.02')	['springy']	1	(of movements) light and confidently active
39122	s	Synset('activist.s.01')	"['activist', 'activistic']"	1	advocating or engaged in activism
44353	a	Synset('potential.a.01')	"['potential', 'possible']"	1	existing in possibility
45123	a	Synset('chronic.a.01')	['chronic']	1	being long-lasting and recurrent or characterized by long suffering
45356	s	Synset('degenerative.s.01')	['degenerative']	1	(of illness) marked by gradual deterioration of organs and cells along with loss of function
52672	a	Synset('adhesive.a.01')	['adhesive']	1	tending to adhere
53384	s	Synset('coherent.s.04')	"['coherent', 'tenacious']"	1	sticking together
55765	a	Synset('adoptable.a.01')	['adoptable']	1	suitable or eligible for adoption
56002	a	Synset('adorned.a.01')	"['adorned', 'decorated']"	1	provided with something intended to increase its beauty or distinction
60605	s	Synset('plain.s.06')	"['plain', 'bare', 'spare', 'unembellished', 'unornamented']"	1	lacking embellishment or ornamentation
64479	a	Synset('advantageous.a.01')	['advantageous']	1	giving an advantage
64787	s	Synset('beneficial.s.01')	"['beneficial', 'good']"	1	promoting or enhancing well-being
65064	s	Synset('plus.s.02')	"['plus', 'positive']"	1	involving advantage or good
65184	s	Synset('discriminatory.s.04')	"['discriminatory', 'preferential']"	1	manifesting partiality
67038	a	Synset('advisable.a.01')	['advisable']	1	worthy of being recommended or suggested; prudent or wise
67379	s	Synset('better.s.03')	"['better', 'best']"	1	(comparative and superlative of `well') wiser or more advantageous and hence advisable
67638	s	Synset('well.s.03')	['well']	1	wise or advantageous and hence advisable
69531	a	Synset('aesthetic.a.02')	"['aesthetic', 'esthetic', 'aesthetical', 'esthetical']"	1	concerning or characterized by an appreciation of beauty or good taste
69948	s	Synset('artistic.s.02')	['artistic']	1	satisfying aesthetic standards and sensibilities
70111	s	Synset('cosmetic.s.02')	"['cosmetic', 'enhancive']"	1	serving an aesthetic purpose in beautifying the body
70288	s	Synset('painterly.s.01')	['painterly']	1	having qualities unique to the art of painting
70427	s	Synset('sensuous.s.01')	['sensuous']	1	taking delight in beauty
70939	a	Synset('affected.a.01')	['affected']	1	acted upon; influenced
71142	s	Synset('impressed.s.01')	['impressed']	1	deeply or markedly affected or influenced
71242	s	Synset('smitten.s.01')	"['smitten', 'stricken', 'struck']"	1	(used in combination) affected by something overwhelming
71427	s	Synset('stage-struck.s.01')	['stage-struck']	1	infatuated with or enthralled by the theater especially the desire to act
71559	s	Synset('subject.s.03')	['subject']	1	likely to be affected by something
71739	s	Synset('taken.s.02')	['taken']	1	be affected with an indisposition
71897	s	Synset('wonder-struck.s.01')	['wonder-struck']	1	affected by or overcome with wonder
73048	a	Synset('affected.a.02')	"['affected', 'unnatural']"	1	speaking or behaving in an artificial way to make an impression
73358	s	Synset('agonistic.s.03')	"['agonistic', 'strained']"	1	struggling for effect
73465	s	Synset('artificial.s.02')	"['artificial', 'contrived', 'hokey', 'stilted']"	1	artificially formal
73761	s	Synset('constrained.s.01')	"['constrained', 'forced', 'strained']"	1	lacking spontaneity; not natural
73935	s	Synset('elocutionary.s.02')	['elocutionary']	1	(used of style of speaking) overly embellished
74094	s	Synset('mannered.s.01')	['mannered']	1	having unnatural mannerisms
74216	s	Synset('plummy.s.02')	['plummy']	1	(of a voice) affectedly mellow and rich
75135	a	Synset('affirmative.a.01')	"['affirmative', 'affirmatory']"	1	affirming or giving assent
82766	s	Synset('battleful.s.01')	"['battleful', 'bellicose', 'combative']"	1	having or showing a ready disposition to fight
83003	s	Synset('competitive.s.03')	"['competitive', 'militant']"	1	showing a fighting disposition
83296	s	Synset('hard-hitting.s.02')	"['hard-hitting', 'high-pressure']"	1	aggressively and persistently persuasive
83478	s	Synset('hostile.s.05')	['hostile']	1	unsolicited and resisted by the management of the target company ( used of attempts to buy or take control of a business)
83749	s	Synset('in-your-face.s.01')	['in-your-face']	1	blatantly aggressive
83876	s	Synset('obstreperous.s.02')	['obstreperous']	1	boisterously and noisily aggressive
84022	s	Synset('predatory.s.02')	"['predatory', 'rapacious', 'raptorial', 'ravening', 'vulturine', 'vulturous']"	1	living by preying on other animals especially by catching living prey
84661	s	Synset('scrappy.s.01')	['scrappy']	1	full of fighting spirit
87152	a	Synset('unagitated.a.02')	['unagitated']	1	not agitated or disturbed emotionally
89051	a	Synset('agreeable.a.01')	['agreeable']	1	conforming to your own liking or feelings or nature
